"row ID","B01","B02","B03","B04","B05","B06","B07","B08","B8A","B11","B12","ALBEDO","IBI","NDBI","NDVI","NDWI","LANDCOVER"
"160232",1318,1205,1376,1265,1643,3872,5158,5164,5203,2936,1916,0.2814922630786896,0.1303603053092956,-0.2750617265701294,0.6064707040786743,-0.5792049169540405,"40"
"325990",1364,1412,1675,1532,2198,3122,3468,3688,3891,3060,2113,0.2457601726055145,0.2817056477069855,-0.0930646136403083,0.4130268096923828,-0.37534961104393,"40"
"211065",1448,1484,1788,1586,2163,4284,4896,4708,5096,3780,2535,0.2943415641784668,0.2366440296173095,-0.1093308180570602,0.4960279762744903,-0.4495073854923248,"40"
"57602",1572,1715,1949,2196,2437,2956,3072,3358,3294,3965,3461,0.2703261375427246,0.4005031883716583,0.0828895270824432,0.2092185765504837,-0.265498399734497,"50"
"10742",1718,1653,1974,2146,3108,3563,3820,3770,4213,4774,3590,0.2924230992794037,0.3774665594100952,0.1175093650817871,0.2745098173618316,-0.3126741051673889,"40"
"121661",2167,2010,2254,2332,2657,3453,3777,3402,3881,3643,2859,0.2786212563514709,0.4095723330974579,0.0342086590826511,0.1866062134504318,-0.2029702961444854,"50"
"201688",1504,1624,1924,1874,2605,3816,4326,4340,4543,4286,3018,0.2987033128738403,0.3022698163986206,-0.0062601435929536,0.3968458175659179,-0.3856960535049438,"40"
"137365",1370,1385,1600,1451,2310,5206,6122,6224,6496,3017,1918,0.3284401297569275,0.1041511446237564,-0.3470403552055359,0.6218892335891724,-0.5910020470619202,"40"
"327402",1357,1312,1524,1339,1876,4157,5069,5140,5307,2853,1918,0.2851257622241974,0.1448353081941604,-0.2861253619194031,0.586664617061615,-0.5426170229911804,"40"
"17558",1298,1354,1690,1428,2075,4566,5431,5392,5755,3370,2102,0.3048108518123626,0.1650652736425399,-0.2307692319154739,0.5812316536903381,-0.5227336883544922,"40"
"290710",1280,1287,1565,1332,1879,3788,4422,4496,4753,2907,1871,0.263423353433609,0.1908285468816757,-0.2146427184343338,0.5428963899612427,-0.4835835695266723,"10"
"187177",1369,1380,1600,1415,1764,3774,4939,4932,5168,2913,1916,0.2823893427848816,0.1707954555749893,-0.2573613822460174,0.5541200637817383,-0.5101041197776794,"40"
"305721",1392,1250,1556,1317,1860,3937,4679,4776,4914,2969,1931,0.2727335691452026,0.1724578887224197,-0.2333118170499801,0.5677006244659424,-0.5085281133651733,"10"
"167791",1427,1406,1626,1522,2178,4395,5068,4848,5482,3202,2099,0.2861125767230987,0.1960756182670593,-0.2044720500707626,0.5221350193023682,-0.497683048248291,"30"
"221987",1258,1345,1578,1417,1788,3667,4857,4852,5130,2828,1874,0.277485728263855,0.1715957075357437,-0.2635416686534881,0.5479342937469482,-0.509175717830658,"40"
"101607",1667,2008,2482,3192,3626,3789,4121,4208,4491,5479,4318,0.3488754630088806,0.4346376061439514,0.1312067657709121,0.1372973024845123,-0.2579970061779022,"40"
"129646",1293,1232,1414,1254,1659,4155,5883,5808,6044,2884,1874,0.3036558628082275,0.0937505587935447,-0.3364012837409973,0.644859790802002,-0.6084187030792236,"40"
"210403",1388,1542,1875,1838,2320,3954,4906,4704,5199,3833,2587,0.3013542890548706,0.2608132362365722,-0.1020264700055122,0.4380923211574554,-0.4300045669078827,"30"
"99986",1710,2218,2758,3508,3884,4144,4351,4592,4817,5558,4210,0.3756966590881347,0.4313051998615265,0.0951724126935005,0.1338271647691726,-0.2495238035917282,"40"
"242425",1750,2134,2592,3148,3581,4063,4293,4432,4607,5425,4118,0.3587443828582763,0.4178503155708313,0.1007405892014503,0.1693931370973587,-0.2619589865207672,"40"
"273375",1360,1396,1650,1469,2090,3957,4913,5144,5177,3384,2273,0.2981807291507721,0.1808764934539795,-0.2063789814710617,0.5557235479354858,-0.5142772793769836,"40"
"267818",1640,2142,2616,2936,3168,3211,3333,3412,3467,4693,4270,0.3129834830760956,0.476500391960144,0.1580505818128585,0.0749842450022697,-0.1320504248142242,"10"
"77167",1212,1582,1839,2064,2364,3528,3951,4006,4176,3382,2743,0.2767706215381622,0.3152935206890106,-0.0844612866640091,0.3199340999126434,-0.3707442283630371,"40"
"168621",1699,1770,2086,2092,2770,3473,3762,3922,3961,3960,3384,0.2905829846858978,0.348502516746521,0.0048211114481091,0.3042899966239929,-0.3055925369262695,"40"
"72472",1384,1355,1614,1460,1867,4032,5313,5208,5612,3321,2137,0.2976552546024322,0.1721189767122268,-0.2212451696395874,0.5620875954627991,-0.526824951171875,"40"
"268792",1408,1449,1764,1682,2350,4278,4768,4768,5021,3950,2629,0.2991187870502472,0.243415892124176,-0.0938288569450378,0.4784496128559112,-0.4598897695541382,"40"
"249374",1415,1714,1965,2132,2780,3795,4190,4108,4321,3819,3086,0.2921463251113891,0.328781247138977,-0.0364576764404773,0.3166666626930237,-0.3528733849525451,"40"
"274124",1359,1572,1996,1814,2550,4799,5295,5408,5616,3528,2371,0.3229092359542846,0.2116699665784835,-0.2103849649429321,0.4976460933685303,-0.4608319699764251,"30"
"51390",1663,1465,1643,1623,2226,3005,3286,3212,3417,3270,2692,0.2361461669206619,0.3382216691970825,0.0089478557929396,0.3286452889442444,-0.3231719732284546,"50"
"142109",1311,1366,1610,1436,1873,3917,5279,5376,5549,3274,2107,0.3025668263435364,0.1585673242807388,-0.2430057823657989,0.5783910751342773,-0.5390781760215759,"40"
"270911",1687,1620,1949,2048,2730,3538,3812,3808,4187,4674,3332,0.2890811860561371,0.3645485043525696,0.102098561823368,0.3005464375019073,-0.3229112327098846,"30"
"130995",2245,1896,1984,2005,2601,3142,3524,3038,3687,3429,2825,0.2525005042552948,0.4063095450401306,0.060460802167654,0.2048383951187133,-0.209876537322998,"30"
"211587",1789,2338,2698,2992,3254,3361,3467,3435,3577,3986,3539,0.3093625009059906,0.4688195586204529,0.0742487534880638,0.0689279586076736,-0.1201695725321769,"50"
"232744",1278,1318,1508,1382,1716,3480,4598,4652,4849,2850,1914,0.2690167725086212,0.1784231215715408,-0.2402026057243347,0.5419290661811829,-0.5103896260261536,"40"
"83927",1473,1478,1831,1696,2458,4019,4476,4616,4764,3853,2631,0.294502317905426,0.2550411224365234,-0.0900932848453521,0.4626109004020691,-0.4319838583469391,"30"
"235063",1745,1558,1822,1880,2545,3388,3761,3802,4011,3837,3172,0.2729251980781555,0.3294200897216797,0.0045817517675459,0.3382611870765686,-0.3520625829696655,"50"
"74865",1511,1592,1866,1911,2540,3759,4173,4264,4500,4291,3117,0.2956395447254181,0.3083504438400268,0.0031560491770505,0.3810526430606842,-0.3911908566951751,"40"
"48429",1157,1206,1399,1283,1556,3291,4438,4384,4685,2582,1774,0.2508079409599304,0.1709942519664764,-0.2586850523948669,0.5472031235694885,-0.5161680579185486,"40"
"286447",1353,1376,1574,1384,2058,5305,6357,6312,6552,3059,1905,0.330315351486206,0.0951227769255638,-0.3471347689628601,0.6403326392173767,-0.6008115410804749,"40"
"322253",1557,1356,1618,1487,2191,4010,4692,4628,4870,3420,2501,0.280722051858902,0.2148633599281311,-0.1500993967056274,0.5136549472808838,-0.4819084107875824,"30"
"7793",1834,2274,2832,3708,3943,4159,4517,4756,4926,5624,4259,0.387567937374115,0.4325414597988128,0.0836223512887954,0.1238185241818428,-0.2535582482814789,"30"
