"rowID","UTC","apparent_temperature","cloudcover","cloudcover_high","cloudcover_low","cloudcover_mid","dewpoint_2m","et0_fao_evapotranspiration","is_day","precipitation","pressure_msl","rain","relativehumidity_2m","snowfall","soil_moisture_0_to_7cm","soil_moisture_100_to_255cm","soil_moisture_28_to_100cm","soil_moisture_7_to_28cm","soil_temperature_0_to_7cm","soil_temperature_100_to_255cm","soil_temperature_28_to_100cm","soil_temperature_7_to_28cm","surface_pressure","temperature_2m","vapor_pressure_deficit","winddirection_100m","winddirection_10m","windgusts_10m","windspeed_100m","windspeed_10m","Irr0","POAb","POAd","POAg","aoi","apparent_elevation","apparent_zenith","azimuth","dhi","dni","elevation","equation_of_time","ghi","surface_azimuth","surface_tilt","tracker_theta","zenith","Irr","year","PLANT"
"Row12890","2024-01-01 00:00:00+00:00",8.8,95,90,25,40,8.7,0.01,0,0,1016.9,0,85,0,0.197,0.203,0.18,0.23,10.7,19.3,13.7,11.6,1007.5,11.2,0.2,200,194,25.9,26.9,14.5,0,0,0,0,0,-70.4695225535675,160.4695225535675,20.983023901821166,0,0,-70.4695225535675,-3.0646438477094,0,0,0,0,160.4695225535675,0.0112549019607842,2024,"plant_1"
"Row12891","2024-01-01 01:00:00+00:00",8.8,77,64,7,34,8.4,0.01,0,0,1016.5,0,84,0,0.197,0.203,0.18,0.23,10.5,19.3,13.7,11.6,1007.1,11,0.21,204,195,24.8,27.2,12.3,0,0,0,0,0,-63.680156077865554,153.68015607786555,52.54650717778264,0,0,-63.680156077865554,-3.084423544361925,0,0,0,0,153.68015607786555,0,2024,"plant_1"
"Row12892","2024-01-01 02:00:00+00:00",8.3,56,41,8,19,8.3,0.02,0,0,1016,0,82,0,0.195,0.203,0.179,0.229,10.4,19.3,13.7,11.8,1006.7,11.2,0.24,201,195,29.5,33.6,17.1,0,0,0,0,0,-53.74058923378714,143.74058923378712,71.4163571005801,0,0,-53.74058923378714,-3.104195180908088,0,0,0,0,143.74058923378712,0.0130263157894736,2024,"plant_1"
"Row12893","2024-01-01 03:00:00+00:00",8.6,93,89,1,36,7.8,0.03,0,0,1015.8,0,78,0,0.195,0.203,0.179,0.229,10.5,19.3,13.7,11.7,1006.5,11.5,0.3,202,193,29.5,31.4,16.6,0,0,0,0,0,-42.7464997385019,132.7464997385019,84.11002892868211,0,0,-42.7464997385019,-3.123958721672655,0,0,0,0,132.7464997385019,0.047391304347826,2024,"plant_1"
"Row12894","2024-01-01 04:00:00+00:00",8.7,87,82,2,25,7.4,0.03,0,0,1015.2,0,74,0,0.195,0.203,0.179,0.229,10.5,19.3,13.7,11.7,1005.9,11.8,0.35,206,194,29.2,31.6,16.3,0,0,0,0,0,-31.494480395359272,121.49448039535928,94.19675963374152,0,0,-31.494480395359272,-3.1437141308936893,0,0,0,0,121.49448039535928,0.0012820512820513,2024,"plant_1"
"Row12895","2024-01-01 05:00:00+00:00",8.7,28,22,1,8,7,0.04,0,0,1014.8,0,72,0,0.195,0.203,0.179,0.229,10.5,19.3,13.7,11.7,1005.5,11.9,0.4,208,199,28.8,31.9,16.7,0,0,0,0,0,-20.368287656104386,110.3682876561044,103.30276547622768,0,0,-20.368287656104386,-3.163461372973567,0,0,0,0,110.3682876561044,0.00915625,2024,"plant_1"
"Row12896","2024-01-01 06:00:00+00:00",9.3,52,52,0,1,6.8,0.03,0,0,1014.7,0,71,0,0.195,0.203,0.179,0.229,10.6,19.3,13.7,11.6,1005.4,12,0.42,213,202,28.4,28.7,13.2,0,0,0,0,0,-9.64736945388802,99.64736945388802,112.31157915627136,0,0,-9.64736945388802,-3.183200412229174,0,0,0,0,99.64736945388802,0,2024,"plant_1"
"Row12897","2024-01-01 07:00:00+00:00",8.9,58,55,4,2,6.8,0.03,0,0,1014.9,0,72,0,0.195,0.203,0.179,0.229,10.4,19.3,13.7,11.6,1005.6,11.6,0.38,208,200,23,26.6,13.4,15.660074457165557,11.76161999383254,3.8483519721513866,0.0501024911816239,47.75312151709347,0.5992854881133799,89.40071451188663,121.82814591285216,3.8777830621704994,59.5882788578486,0.3821073545477941,-3.202931212967693,7.759117719481364,52.499999202513344,3.9024861251443497,3.9024861251443537,89.61789264545219,4.813804597701149,2024,"plant_1"
"Row12898","2024-01-01 08:00:00+00:00",8.9,61,58,5,1,7.1,0.05,1,0,1014.9,0,73,0,0.195,0.203,0.179,0.229,10.5,19.2,13.7,11.6,1005.6,11.8,0.38,198,188,25.9,28.3,14.9,275.5906542304412,238.24059658434908,27.88323553968561,9.466822106406536,59.90117872037551,9.470703946564951,80.52929605343505,132.34140493041374,30.926430494150072,454.9565011766288,9.37024748881283,-3.2226537395896835,109.86917267506615,89.99999969861307,31.70566759437756,31.70566759437756,80.62975251118716,80.09572222222222,2024,"plant_1"
"Row12899","2024-01-01 09:00:00+00:00",11,85,82,4,16,7.8,0.08,1,0,1015.3,0,69,0,0.195,0.203,0.179,0.229,11.1,19.2,13.7,11.6,1006,13.5,0.49,198,180,25.6,23.8,13,507.71442751015456,426.3535778885701,38.44912051301871,42.9117291085659,51.31114116724691,16.92541154277814,73.07458845722186,144.23550424175906,48.99439619966592,684.1823137765291,16.870520509225603,-3.242367956464174,249.3170680144746,90,55.29311433455967,55.29311433455967,73.12947949077439,225.45455555555552,2024,"plant_1"
